happiness_score,gdp,family,health,freedom,generosity,corruption,region,year,country,social_wellbeing,positive_factors
3.34,0.28665,0.35386,0.3191,0.4845,0.1826,0.0801,Sub-Saharan Africa,2015,Benin,0.67296,0.87365
3.006,0.6632,0.47489,0.72193,0.15684,0.47179,0.18906,Middle East and Northern Africa,2015,Syria,1.19682,1.10277
2.905,0.0153,0.41587,0.22396,0.1185,0.19727,0.10062,Sub-Saharan Africa,2015,Burundi,0.63983,0.23045
2.839,0.20868,0.13995,0.28443,0.36453,0.16681,0.10731,Sub-Saharan Africa,2015,Togo,0.42438,0.63271
7.526,1.44178,1.16374,0.79504,0.57941,0.36171,0.44453,Western Europe,2016,Denmark,1.95878,1.93837
7.509,1.52733,1.14524,0.86303,0.58557,0.28083,0.41203,Western Europe,2016,Switzerland,2.00827,1.9817
7.501,1.42666,1.18326,0.86733,0.56624,0.47678,0.14975,Western Europe,2016,Iceland,2.05059,2.3199300000000003
7.498,1.57744,1.1269,0.79579,0.59609,0.37895,0.35776,Western Europe,2016,Norway,1.92269,2.1947200000000002
7.413,1.40598,1.13464,0.81091,0.57104,0.25492,0.41004,Western Europe,2016,Finland,1.9455500000000001,1.8218999999999999
7.404,1.44015,1.0961,0.8276,0.5737,0.44834,0.31329,North America,2016,Canada,1.9237000000000002,2.1489000000000003
7.339,1.46468,1.02912,0.81231,0.55211,0.47416,0.29927,Western Europe,2016,Netherlands,1.84143,2.19168
7.334,1.36066,1.17278,0.83096,0.58147,0.49401,0.41904,Australia and New Zealand,2016,New Zealand,2.00374,2.0171
7.313,1.44443,1.10476,0.8512,0.56837,0.47407,0.32331,Australia and New Zealand,2016,Australia,1.95596,2.1635600000000004
7.291,1.45181,1.08764,0.83121,0.58218,0.38254,0.40867,Western Europe,2016,Sweden,1.91885,2.0078600000000004
7.267,1.33766,0.99537,0.84917,0.36432,0.32288,0.08728,Middle East and Northern Africa,2016,Israel,1.8445399999999998,1.9375799999999999
7.119,1.45038,1.08383,0.80565,0.54355,0.32865,0.21348,Western Europe,2016,Austria,1.88948,2.1090999999999998
7.104,1.50796,1.04782,0.779,0.48163,0.41077,0.14868,North America,2016,United States,1.82682,2.25168
7.087,1.06879,1.02152,0.76146,0.55225,0.22553,0.10547,Latin America and Caribbean,2016,Costa Rica,1.78298,1.7410999999999999
7.039,1.35943,1.08113,0.77758,0.46823,0.22202,0.12275,Latin America and Caribbean,2016,Puerto Rico,1.8587099999999999,1.92693
6.994,1.44787,1.09774,0.81487,0.53466,0.30452,0.28551,Western Europe,2016,Germany,1.91261,2.0015400000000003
6.952,1.08754,1.03938,0.61415,0.40425,0.15776,0.14166,Latin America and Caribbean,2016,Brazil,1.65353,1.5078900000000002
6.929,1.42539,1.05249,0.81959,0.51354,0.2424,0.26248,Western Europe,2016,Belgium,1.87208,1.91885
6.907,1.48341,1.16157,0.81455,0.54008,0.44963,0.29754,Western Europe,2016,Ireland,1.9761199999999999,2.1755799999999996
